codigo;nombre;codigo_padre;email_aprobador;rol_aprobador;seleccionable_en_contabilizacion;activo;orden
11Y9907;GASTOS MERCADEO;11Y9900;;GERENCIA_VENTAS;true;true;3
11Y9913;SERVICIOS PRESTADOS VENTAS;11Y9900;;GERENCIA_VENTAS;true;true;4
11Y9914;SERV. PROF. ADMINISTRACIÓN;11Y9900;;GERENCIA_VENTAS;true;true;5
11Y9915;SERVICIOS PRESTADOS INGENIERIA;11Y9900;;GERENCIA_VENTAS;true;true;6
11Y9925;OTROS ($50mil Ajuste Temporal Hablita Sistema);11Y9900;;GERENCIA_VENTAS;true;true;7
11Y9999;OTROS GASTOS ADMINISTRATIVOS IMPREVISTOS;11Y9900;;GERENCIA_VENTAS;true;true;8
11Z0000;COSTOS DIRECTOS COMUNES DE OBRA;1100000;;GERENCIA_CONSTRUCCION;false;true;10
11Z0100;DIRECTOS COMUNES - TERRENOS;11Z0000;;GERENCIA_CONSTRUCCION;false;true;1
11Z0101;FINCAS;11Z0100;;GERENCIA_CONSTRUCCION;true;true;1
11Z0102;SERVIDUMBRE;11Z0100;;GERENCIA_CONSTRUCCION;true;true;2
11Z0103;LEGALES TERRENO;11Z0100;;GERENCIA_CONSTRUCCION;true;true;3
11Z0120;Revaluación por Avalúo Tributario;11Z0100;;GERENCIA_CONSTRUCCION;true;true;4
11Z0125;OTROS COSTOS TERRENOS;11Z0100;;GERENCIA_CONSTRUCCION;true;true;5
11Z0200;DIRECTOS COMUNES - INFRAESTRUCTURA;11Z0000;;GERENCIA_CONSTRUCCION;false;true;2
11Z0201;DEMOLICION;11Z0200;;GERENCIA_CONSTRUCCION;true;true;1
11Z0202;MOVIMIENTO DE TIERRA;11Z0200;;GERENCIA_CONSTRUCCION;true;true;2
11Z0203;SISTEMA PLUVIAL;11Z0200;;GERENCIA_CONSTRUCCION;true;true;3
11Z0204;SISTEMA SANITARIO;11Z0200;;GERENCIA_CONSTRUCCION;true;true;4
11Z0205;SISTEMA POTABLE E INCENDIO;11Z0200;;GERENCIA_CONSTRUCCION;true;true;5
